Time,Latitude,Longitude,Depth,Altitude,Event
2022-10-17 15:25:32,0.0003246976695790662,124.51156968049266,37.0,0,평강이형 테스트
2022-10-17 15:26:39,0.0003246976695790662,124.51156968049266,37.0,0,평강이형 테스트
2022-10-17 15:26:57,0.0003246976695790662,124.51156968049266,37.0,0,기모띠
2022-10-17 15:27:04,0.0003246976695790662,124.51156968049266,37.0,0,아아아앙 
2022-10-17 15:28:30,0.0003246976695790662,124.51156968049266,37.0,0,ㅀㅀㅀㅀㅀㅀㅀ
2022-10-17 15:28:34,0.0003246976695790662,124.51156968049266,37.0,0,호ㅗ러
2022-10-17 15:28:39,0.0003246976695790662,124.51156968049266,37.0,0,ㅗㅗㅗㅗ
2022-10-17 15:29:58,0.0003246976695790662,124.51156968049266,37.0,0,ㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴㅇㅁㄴ
2022-10-17 15:30:01,0.0003246976695790662,124.51156968049266,37.0,0,ㅗㅕㅏㅘㅘㅏㅗㅓㅏㅘㅓㅘ
2022-10-17 15:35:28,0.0003246976695790662,124.51156968049266,37.0,0,안녕하세요 감사해요
2022-10-17 15:35:53,0.0003246976695790662,124.51156968049266,37.0,0,ㄹㅇㄴㄹㅇㄴ
2022-10-17 15:36:05,0.0003246976695790662,124.51156968049266,37.0,0,fdsafdsafdsa
2022-10-17 15:37:07,0.0003246976695790662,124.51156968049266,37.0,0,fdsafdsafdsafsdafsd
2022-10-17 15:39:42,0.0003246976695790662,124.51156968049266,37.0,0,fdsafdsafdasfas
2022-10-17 15:39:59,0.0003246976695790662,124.51156968049266,37.0,0,fjgjjhgjh
2022-10-17 15:40:06,0.0003246976695790662,124.51156968049266,37.0,0,hkjhjkkjhkj
2022-10-17 15:40:07,0.0003246976695790662,124.51156968049266,37.0,0,hljkhkljhlk
2022-10-17 15:40:08,0.0003246976695790662,124.51156968049266,37.0,0,hlkhlkhljk
2022-10-17 15:40:08,0.0003246976695790662,124.51156968049266,37.0,0,;
2022-10-17 15:40:09,0.0003246976695790662,124.51156968049266,37.0,0,;l
2022-10-17 15:40:09,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:09,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:09,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:09,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:10,0.0003246976695790662,124.51156968049266,37.0,0,ll
2022-10-17 15:40:10,0.0003246976695790662,124.51156968049266,37.0,0,ll
2022-10-17 15:40:10,0.0003246976695790662,124.51156968049266,37.0,0,ll
2022-10-17 15:40:11,0.0003246976695790662,124.51156968049266,37.0,0,ll
2022-10-17 15:40:11,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:11,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:11,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:11,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:11,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:12,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:12,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:12,0.0003246976695790662,124.51156968049266,37.0,0,l
2022-10-17 15:40:12,0.0003246976695790662,124.51156968049266,37.0,0,ll
